Category,Businesses
School,116
Hotel,90
Bank,90
Hospital,88
College,87
Supermarket,86
Cafe,83
Grocery Store,81
Restaurant,79
Furniture,76
Clinic,73
Electronics,73
Office,68
ATM,65
Jewelry,64
Hardware,63
Gym,63
Salon,62
Clothing,60
Fuel Station,59
Mobile Store,59
Bakery,53
Shopping Mall,12
