City,Businesses
Ranchi,116
Jamshedpur,114
Dhanbad,100
Dumka,92
Latehar,89
Deoghar,89
Hazaribagh,86
Medininagar,86
Bokaro,84
Khunti,80
Pakur,74
Koderma,72
Chaibasa,69
Giridih,68
Godda,64
Sahibganj,64
Simdega,63
Ramgarh,63
Gumla,61
Lohardaga,60
Chatra,56
