Business_Segment,Count,Avg_Rating,Pct_Has_Website,Pct_Parking,Pct_Delivery
0,546,4.23,100.0,0.0,0.0
1,568,4.24,100.0,100.0,45.2
2,506,4.23,100.0,0.0,100.0
3,30,3.9,0.0,53.3,46.7
